,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
Topic 0,1.0,0.8641389,0.93045825,0.8595631,0.91818464,0.8217154,0.8322038,0.86530083,0.7367301,0.82061577
Topic 1,0.8641389,0.9999998,0.81968087,0.77278405,0.7792002,0.7578098,0.77483016,0.6956764,0.6516632,0.71947396
Topic 2,0.93045825,0.81968087,1.0,0.8913806,0.9127437,0.8283866,0.81789416,0.8271959,0.7474354,0.80811745
Topic 3,0.8595631,0.77278405,0.8913806,1.0000002,0.8834822,0.8960549,0.7480163,0.8550053,0.6940158,0.75194395
Topic 4,0.91818464,0.7792002,0.9127437,0.8834822,1.0000001,0.8333252,0.74521,0.8849061,0.70899004,0.740044
Topic 5,0.8217154,0.7578098,0.8283866,0.8960549,0.8333252,1.0,0.72685605,0.8029378,0.6621857,0.7313088
Topic 6,0.8322038,0.77483016,0.81789416,0.7480163,0.74521,0.72685605,1.0,0.7893487,0.76914084,0.8065201
Topic 7,0.86530083,0.6956764,0.8271959,0.8550053,0.8849061,0.8029378,0.7893487,1.0,0.66735625,0.7244344
Topic 8,0.7367301,0.6516632,0.7474354,0.6940158,0.70899004,0.6621857,0.76914084,0.66735625,1.0,0.6778343
Topic 9,0.82061577,0.71947396,0.80811745,0.75194395,0.740044,0.7313088,0.8065201,0.7244344,0.6778343,0.9999997
